,model,train_r2,train_mae,train_rmse,test_r2,test_mae,test_rmse
0,LinearRegression,0.9505786286293189,2.4424566354949495,3.1693765784885337,0.6561857891652719,5.587893895307175,8.160710286123926
1,DecisionTreeRegressor,0.9905634487041661,0.8189285714285715,1.3780019549608082,0.5872720163223468,6.184126984126985,9.096640590846874
2,SVR,0.8386275771764853,2.7205950388494466,5.727821267602138,0.47761746083667633,7.098368804414756,10.283372514667802
3,XGBRegressor,0.8868041935144163,3.5687096678643,4.795973805624727,0.6688224045353537,5.891033148538499,8.109200040138068
4,RandomForestRegressor,0.9243953015051222,2.7147743527791803,3.9132851400861726,0.739409030907683,5.1291863518519545,7.055434589092438
5,BaggingRegressor,0.9674621926477597,1.800137500000006,2.570950574846486,0.7771030846651567,4.827722857142859,6.676143452001884
6,GradientBoostingRegressor,0.9983494595238838,0.38126734494306436,0.5756895133066902,0.7530538751593795,4.792619990302538,6.864198462650871
7,AdaBoostRegressor,0.9305420198898202,3.1697671692597025,3.751431272101345,0.7824112180741891,4.917182610028711,6.421932730419205
8,NearestNeighbors,0.8808609976655681,3.2038888888888892,4.912102263654657,0.6723796640886205,5.165079365079366,7.943592177235926
9,ExtraTreesRegressor,0.9781602680293947,1.3811904285714292,2.0999739192277582,0.8156260775554461,4.198443777777779,6.045638791022585
10,LinearRegression,0.9503950821772689,2.4218638258419167,3.1709129997250987,0.675945162726812,5.447280452889553,7.536774288557124
11,DecisionTreeRegressor,0.9904517018963164,0.8190079365079365,1.3885318065693464,0.5557856600393097,6.318730158730157,9.239529460956932
12,SVR,0.8394294476447337,2.686900667110959,5.7144570591642125,0.45482599394299983,7.273466684642097,10.435089232013514
13,XGBRegressor,0.8836772414436709,3.636273233209338,4.853705616533004,0.7177714406053253,5.4203130227043514,7.399134838187251
14,RandomForestRegressor,0.9245936029685744,2.714246334411662,3.9159757795630177,0.7434729784825717,5.138529601695349,7.150191634138148
15,BaggingRegressor,0.9663751724715988,1.833065000000008,2.61343062177174,0.8000304590176224,4.659390000000004,6.304470818627335
16,GradientBoostingRegressor,0.9983369887516329,0.3746535480932633,0.573814211448088,0.7568761518378018,4.811995905231345,6.8881503316621036
17,AdaBoostRegressor,0.932888174865864,3.0812763801169565,3.694394001884517,0.8101235073021537,4.591860551630236,6.144073898337184
18,NearestNeighbors,0.8723993369615975,3.295952380952381,5.080710078246974,0.7134582264710143,5.067936507936508,7.516512208177642
19,ExtraTreesRegressor,0.9781741133783969,1.3938107936507946,2.1042762467853846,0.8244456074257009,4.282427952380953,5.962878316851584
20,LinearRegression,0.9509932079887626,2.420875503771609,3.150288690494251,0.5553649034879128,6.083607889252448,8.957794079035864
21,DecisionTreeRegressor,0.9931478846885021,0.6879166666666668,1.1709002621218338,0.4614632866387868,6.564801587301588,10.015006885005997
22,SVR,0.8398378055824149,2.6901532180076684,5.696158757645179,0.39350819006566795,7.380156907093173,10.642324906869515
23,XGBRegressor,0.8854434062013163,3.597842051869347,4.818686179440234,0.6852171017643236,5.520278610047839,7.767375081337169
24,RandomForestRegressor,0.9258532076026246,2.7010704636588407,3.880377456568521,0.7257091609205267,5.248093104184414,7.330697684690536
25,BaggingRegressor,0.9678623899268635,1.7940421428571516,2.547683994759068,0.7564213924081,4.811621904761911,6.813272134721752
26,GradientBoostingRegressor,0.9986356429293203,0.3669428419730737,0.5240647347225347,0.796858012428677,4.487696120435751,6.339798570523177
27,AdaBoostRegressor,0.9284212759860828,3.1560672075919056,3.794970612440575,0.7214983121075026,5.272303508511393,7.137776767194383
28,NearestNeighbors,0.87551074584115,3.314920634920635,5.030471583111679,0.6819539780147335,5.016825396825396,7.7472949668378135
29,ExtraTreesRegressor,0.9779625674509704,1.3843758730158753,2.1054649922048574,0.8070226831892114,4.300748460317462,6.069889272069604
30,LinearRegression,0.9503004608608411,2.4504284870520565,3.1706069449829757,0.610812459659676,5.710961147743504,8.305295370728484
31,DecisionTreeRegressor,0.9922865548415383,0.7461111111111111,1.2402658170910539,0.5929266890530406,6.0464682539682535,8.879767018764493
32,SVR,0.8371821489499538,2.710615788461591,5.7498428121049825,0.44590882447483116,7.303380466263508,10.394274027166032
33,XGBRegressor,0.885777228192515,3.594735646134331,4.803875174281916,0.6859210184160324,5.641794315065656,7.734362517520705
34,RandomForestRegressor,0.9256621238118805,2.6911298045088996,3.878661187534471,0.7361305419448636,5.152212334791593,7.15590547627977
35,BaggingRegressor,0.96714977337086,1.803112500000006,2.582660078557356,0.7597170168155019,5.045823333333336,6.865310100634035
36,GradientBoostingRegressor,0.9983844666319518,0.3812857308916683,0.5645050890201728,0.7603832129482766,4.59225001717004,6.640076820764887
37,AdaBoostRegressor,0.9283302820944179,3.2126094437196606,3.8117925710402063,0.766858279800553,4.983679349196305,6.7206189258860904
38,NearestNeighbors,0.8754591408358705,3.2456746031746038,5.030167431355414,0.7229093364912444,5.107301587301588,7.457380763418
39,ExtraTreesRegressor,0.9791956572996761,1.3642545793650795,2.054656496963825,0.7386112514934835,4.636238460317459,6.920730959879973
40,LinearRegression,0.9507412000093755,2.4353999143608656,3.1648844605648856,0.5404143534409881,5.9105987358093985,9.221464535495077
41,DecisionTreeRegressor,0.9913150211945256,0.7603769841269843,1.3254681437383147,0.4488375329971646,6.6288888888888895,10.308660209606717
42,SVR,0.8429614136331633,2.659440020589689,5.647741349436615,0.43039578643981563,7.5057227364380426,10.659042402290243
43,XGBRegressor,0.8878847938983032,3.5670181205159146,4.772008519378511,0.7077376624677179,5.519676200321742,7.540546773038132
44,RandomForestRegressor,0.925775196381964,2.6694728933094343,3.8806311114047665,0.7117425063491055,5.363636778892593,7.442444348790774
45,BaggingRegressor,0.9680219528789274,1.791562500000008,2.5486658691511748,0.7614596731258774,4.892345238095244,6.765082692022133
46,GradientBoostingRegressor,0.9981260999012745,0.38760225813046206,0.6112033667671766,0.7799369472708466,4.693201778404956,6.615062683873883
47,AdaBoostRegressor,0.9295478468193513,3.19047306886372,3.7801451483551185,0.7446706596989141,5.100135769277041,6.926907883615352
48,NearestNeighbors,0.8718054555261654,3.331904761904762,5.10010660852137,0.7309438142241974,4.965714285714286,7.323404934480434
49,ExtraTreesRegressor,0.9807818405096885,1.3411415476190482,1.9740057899880008,0.7018531421789478,4.842553015873015,7.410476124041557
